state_name,county_name,census_tract_name,census_tract_geoid
Illinois,Adams County,Census Tract 4,17001000400
Illinois,Adams County,Census Tract 5,17001000500
Illinois,Adams County,Census Tract 7,17001000700
Illinois,Adams County,Census Tract 8,17001000800
Illinois,Alexander County,Census Tract 9579,17003957900
Illinois,Bond County,Census Tract 9513,17005951300
Illinois,Boone County,Census Tract 101,17007010100
Illinois,Champaign County,Census Tract 2,17019000200
Illinois,Champaign County,Census Tract 7,17019000700
Illinois,Champaign County,Census Tract 8,17019000800
Illinois,Champaign County,Census Tract 9.01,17019000901
Illinois,Champaign County,Census Tract 53,17019005300
Illinois,Champaign County,Census Tract 56,17019005600
Illinois,Champaign County,Census Tract 57.01,17019005701
Illinois,Coles County,Census Tract 4,17029000400
Illinois,Coles County,Census Tract 12,17029001200
Illinois,Cook County,Census Tract 101,17031010100
Illinois,Cook County,Census Tract 102.01,17031010201
Illinois,Cook County,Census Tract 102.02,17031010202
Illinois,Cook County,Census Tract 105.01,17031010501
Illinois,Cook County,Census Tract 205,17031020500
Illinois,Cook County,Census Tract 209.01,17031020901
Illinois,Cook County,Census Tract 303,17031030300
Illinois,Cook County,Census Tract 312,17031031200
Illinois,Cook County,Census Tract 315.01,17031031501
Illinois,Cook County,Census Tract 315.02,17031031502
Illinois,Cook County,Census Tract 317,17031031700
Illinois,Cook County,Census Tract 804,17031080400
Illinois,Cook County,Census Tract 819,17031081900
Illinois,Cook County,Census Tract 1406.02,17031140602
Illinois,Cook County,Census Tract 1901,17031190100
Illinois,Cook County,Census Tract 1908,17031190800
Illinois,Cook County,Census Tract 1909,17031190900
Illinois,Cook County,Census Tract 1910,17031191000
Illinois,Cook County,Census Tract 1911,17031191100
Illinois,Cook County,Census Tract 1912,17031191200
Illinois,Cook County,Census Tract 1913.01,17031191301
Illinois,Cook County,Census Tract 1913.02,17031191302
Illinois,Cook County,Census Tract 2002,17031200200
Illinois,Cook County,Census Tract 2004.01,17031200401
Illinois,Cook County,Census Tract 2004.02,17031200402
Illinois,Cook County,Census Tract 2104,17031210400
Illinois,Cook County,Census Tract 2106.02,17031210602
Illinois,Cook County,Census Tract 2209.01,17031220901
Illinois,Cook County,Census Tract 2210,17031221000
Illinois,Cook County,Census Tract 2227,17031222700
Illinois,Cook County,Census Tract 2229,17031222900
Illinois,Cook County,Census Tract 2301,17031230100
Illinois,Cook County,Census Tract 2302,17031230200
Illinois,Cook County,Census Tract 2303,17031230300
Illinois,Cook County,Census Tract 2304,17031230400
Illinois,Cook County,Census Tract 2305,17031230500
Illinois,Cook County,Census Tract 2306,17031230600
Illinois,Cook County,Census Tract 2307,17031230700
Illinois,Cook County,Census Tract 2308,17031230800
Illinois,Cook County,Census Tract 2309,17031230900
Illinois,Cook County,Census Tract 2311,17031231100
Illinois,Cook County,Census Tract 2312,17031231200
Illinois,Cook County,Census Tract 2315,17031231500
Illinois,Cook County,Census Tract 2407,17031240700
Illinois,Cook County,Census Tract 2408,17031240800
Illinois,Cook County,Census Tract 2409,17031240900
Illinois,Cook County,Census Tract 2410,17031241000
Illinois,Cook County,Census Tract 2411,17031241100
Illinois,Cook County,Census Tract 2427,17031242700
Illinois,Cook County,Census Tract 2502,17031250200
Illinois,Cook County,Census Tract 2503,17031250300
Illinois,Cook County,Census Tract 2504,17031250400
Illinois,Cook County,Census Tract 2506,17031250600
Illinois,Cook County,Census Tract 2507,17031250700
Illinois,Cook County,Census Tract 2508,17031250800
Illinois,Cook County,Census Tract 2510,17031251000
Illinois,Cook County,Census Tract 2511,17031251100
Illinois,Cook County,Census Tract 2512,17031251200
Illinois,Cook County,Census Tract 2513,17031251300
Illinois,Cook County,Census Tract 2514,17031251400
Illinois,Cook County,Census Tract 2515,17031251500
Illinois,Cook County,Census Tract 2516,17031251600
Illinois,Cook County,Census Tract 2517,17031251700
Illinois,Cook County,Census Tract 2518,17031251800
Illinois,Cook County,Census Tract 2519,17031251900
Illinois,Cook County,Census Tract 2520,17031252000
Illinois,Cook County,Census Tract 2521.01,17031252101
Illinois,Cook County,Census Tract 2521.02,17031252102
Illinois,Cook County,Census Tract 2522.01,17031252201
Illinois,Cook County,Census Tract 2522.02,17031252202
Illinois,Cook County,Census Tract 2601,17031260100
Illinois,Cook County,Census Tract 2602,17031260200
Illinois,Cook County,Census Tract 2603,17031260300
Illinois,Cook County,Census Tract 2604,17031260400
Illinois,Cook County,Census Tract 2605,17031260500
Illinois,Cook County,Census Tract 2606,17031260600
Illinois,Cook County,Census Tract 2607,17031260700
Illinois,Cook County,Census Tract 2608,17031260800
Illinois,Cook County,Census Tract 2609,17031260900
Illinois,Cook County,Census Tract 2610,17031261000
Illinois,Cook County,Census Tract 2705,17031270500
Illinois,Cook County,Census Tract 2712,17031271200
Illinois,Cook County,Census Tract 2713,17031271300
Illinois,Cook County,Census Tract 2714,17031271400
Illinois,Cook County,Census Tract 2715,17031271500
Illinois,Cook County,Census Tract 2718,17031271800
Illinois,Cook County,Census Tract 2804,17031280400
Illinois,Cook County,Census Tract 2808,17031280800
Illinois,Cook County,Census Tract 2809,17031280900
Illinois,Cook County,Census Tract 2827,17031282700
Illinois,Cook County,Census Tract 2832,17031283200
Illinois,Cook County,Census Tract 2838,17031283800
Illinois,Cook County,Census Tract 2909,17031290900
Illinois,Cook County,Census Tract 2912,17031291200
Illinois,Cook County,Census Tract 2922,17031292200
Illinois,Cook County,Census Tract 2924,17031292400
Illinois,Cook County,Census Tract 2925,17031292500
Illinois,Cook County,Census Tract 3006,17031300600
Illinois,Cook County,Census Tract 3007,17031300700
Illinois,Cook County,Census Tract 3008,17031300800
Illinois,Cook County,Census Tract 3009,17031300900
Illinois,Cook County,Census Tract 3011,17031301100
Illinois,Cook County,Census Tract 3012,17031301200
Illinois,Cook County,Census Tract 3016,17031301600
Illinois,Cook County,Census Tract 3103,17031310300
Illinois,Cook County,Census Tract 3105,17031310500
Illinois,Cook County,Census Tract 3106,17031310600
Illinois,Cook County,Census Tract 3107,17031310700
Illinois,Cook County,Census Tract 3406,17031340600
Illinois,Cook County,Census Tract 3504,17031350400
Illinois,Cook County,Census Tract 3511,17031351100
Illinois,Cook County,Census Tract 3514,17031351400
Illinois,Cook County,Census Tract 3515,17031351500
Illinois,Cook County,Census Tract 3602,17031360200
Illinois,Cook County,Census Tract 3801,17031380100
Illinois,Cook County,Census Tract 3802,17031380200
Illinois,Cook County,Census Tract 3805,17031380500
Illinois,Cook County,Census Tract 3807,17031380700
Illinois,Cook County,Census Tract 3812,17031381200
Illinois,Cook County,Census Tract 3814,17031381400
Illinois,Cook County,Census Tract 3815,17031381500
Illinois,Cook County,Census Tract 3818,17031381800
Illinois,Cook County,Census Tract 3819,17031381900
Illinois,Cook County,Census Tract 3901,17031390100
Illinois,Cook County,Census Tract 3902,17031390200
Illinois,Cook County,Census Tract 3903,17031390300
Illinois,Cook County,Census Tract 3904,17031390400
Illinois,Cook County,Census Tract 3905,17031390500
Illinois,Cook County,Census Tract 4003,17031400300
Illinois,Cook County,Census Tract 4004,17031400400
Illinois,Cook County,Census Tract 4005,17031400500
Illinois,Cook County,Census Tract 4008,17031400800
Illinois,Cook County,Census Tract 4105,17031410500
Illinois,Cook County,Census Tract 4201,17031420100
Illinois,Cook County,Census Tract 4202,17031420200
Illinois,Cook County,Census Tract 4203,17031420300
Illinois,Cook County,Census Tract 4204,17031420400
Illinois,Cook County,Census Tract 4205,17031420500
Illinois,Cook County,Census Tract 4206,17031420600
Illinois,Cook County,Census Tract 4207,17031420700
Illinois,Cook County,Census Tract 4208,17031420800
Illinois,Cook County,Census Tract 4212,17031421200
Illinois,Cook County,Census Tract 4301.01,17031430101
Illinois,Cook County,Census Tract 4301.02,17031430102
Illinois,Cook County,Census Tract 4302,17031430200
Illinois,Cook County,Census Tract 4303,17031430300
Illinois,Cook County,Census Tract 4304,17031430400
Illinois,Cook County,Census Tract 4305,17031430500
Illinois,Cook County,Census Tract 4306,17031430600
Illinois,Cook County,Census Tract 4307,17031430700
Illinois,Cook County,Census Tract 4308,17031430800
Illinois,Cook County,Census Tract 4309,17031430900
Illinois,Cook County,Census Tract 4312,17031431200
Illinois,Cook County,Census Tract 4313.01,17031431301
Illinois,Cook County,Census Tract 4313.02,17031431302
Illinois,Cook County,Census Tract 4314,17031431400
Illinois,Cook County,Census Tract 4401.01,17031440101
Illinois,Cook County,Census Tract 4401.02,17031440102
Illinois,Cook County,Census Tract 4402.01,17031440201
Illinois,Cook County,Census Tract 4402.02,17031440202
Illinois,Cook County,Census Tract 4403,17031440300
Illinois,Cook County,Census Tract 4406,17031440600
Illinois,Cook County,Census Tract 4407,17031440700
Illinois,Cook County,Census Tract 4408,17031440800
Illinois,Cook County,Census Tract 4409,17031440900
Illinois,Cook County,Census Tract 4503,17031450300
Illinois,Cook County,Census Tract 4601,17031460100
Illinois,Cook County,Census Tract 4602,17031460200
Illinois,Cook County,Census Tract 4603.01,17031460301
Illinois,Cook County,Census Tract 4603.02,17031460302
Illinois,Cook County,Census Tract 4604,17031460400
Illinois,Cook County,Census Tract 4605,17031460500
Illinois,Cook County,Census Tract 4606,17031460600
Illinois,Cook County,Census Tract 4607,17031460700
Illinois,Cook County,Census Tract 4610,17031461000
Illinois,Cook County,Census Tract 4701,17031470100
Illinois,Cook County,Census Tract 4801,17031480100
Illinois,Cook County,Census Tract 4802,17031480200
Illinois,Cook County,Census Tract 4803,17031480300
Illinois,Cook County,Census Tract 4804,17031480400
Illinois,Cook County,Census Tract 4805,17031480500
Illinois,Cook County,Census Tract 4903,17031490300
Illinois,Cook County,Census Tract 4904,17031490400
Illinois,Cook County,Census Tract 4905,17031490500
Illinois,Cook County,Census Tract 4906,17031490600
Illinois,Cook County,Census Tract 4907,17031490700
Illinois,Cook County,Census Tract 4908,17031490800
Illinois,Cook County,Census Tract 4909.01,17031490901
Illinois,Cook County,Census Tract 4909.02,17031490902
Illinois,Cook County,Census Tract 4910,17031491000
Illinois,Cook County,Census Tract 4911,17031491100
Illinois,Cook County,Census Tract 4912,17031491200
Illinois,Cook County,Census Tract 4913,17031491300
Illinois,Cook County,Census Tract 4914,17031491400
Illinois,Cook County,Census Tract 5001,17031500100
Illinois,Cook County,Census Tract 5002,17031500200
Illinois,Cook County,Census Tract 5003,17031500300
Illinois,Cook County,Census Tract 5101,17031510100
Illinois,Cook County,Census Tract 5102,17031510200
Illinois,Cook County,Census Tract 5103,17031510300
Illinois,Cook County,Census Tract 5201,17031520100
Illinois,Cook County,Census Tract 5202,17031520200
Illinois,Cook County,Census Tract 5203,17031520300
Illinois,Cook County,Census Tract 5301,17031530100
Illinois,Cook County,Census Tract 5302,17031530200
Illinois,Cook County,Census Tract 5303,17031530300
Illinois,Cook County,Census Tract 5304,17031530400
Illinois,Cook County,Census Tract 5305.01,17031530501
Illinois,Cook County,Census Tract 5305.02,17031530502
Illinois,Cook County,Census Tract 5305.03,17031530503
Illinois,Cook County,Census Tract 5306,17031530600
Illinois,Cook County,Census Tract 5401.01,17031540101
Illinois,Cook County,Census Tract 5401.02,17031540102
Illinois,Cook County,Census Tract 5602,17031560200
Illinois,Cook County,Census Tract 5801,17031580100
Illinois,Cook County,Census Tract 5802,17031580200
Illinois,Cook County,Census Tract 5803,17031580300
Illinois,Cook County,Census Tract 5805.01,17031580501
Illinois,Cook County,Census Tract 5806,17031580600
Illinois,Cook County,Census Tract 5808,17031580800
Illinois,Cook County,Census Tract 5905,17031590500
Illinois,Cook County,Census Tract 5906,17031590600
Illinois,Cook County,Census Tract 6103,17031610300
Illinois,Cook County,Census Tract 6104,17031610400
Illinois,Cook County,Census Tract 6110,17031611000
Illinois,Cook County,Census Tract 6111,17031611100
Illinois,Cook County,Census Tract 6112,17031611200
Illinois,Cook County,Census Tract 6113,17031611300
Illinois,Cook County,Census Tract 6114,17031611400
