state,r3_funding_region,county,r3_zone_id,census_tract_name,census_tract_geoid,service_delivery_minimum_funding_amount,service_delivery_maximum_funding_amount,planning_grant_minimum_funding_amount,planning_grant_maximum_funding_amount,high_need_area
Illinois,Collar,Kankakee County,502,Census Tract 117,17091011700,"$25,000 ","$1,374,297 ","$25,000 ","$152,700 ",Yes
Illinois,South Central,Madison County,720,Census Tract 4015,17119401500,"$25,000 ","$830,620 ","$25,000 ","$92,291 ",No
Illinois,Northwest,Rock Island County,611,Census Tract 244,17161024400,"$20,000 ","$245,577 ","$20,000 ","$27,286 ",Yes
Illinois,South Central,Madison County,721,Census Tract 4017.01,17119401701,"$25,000 ","$830,620 ","$25,000 ","$92,291 ",No
Illinois,South Central,Madison County,728,Census Tract 4034.02,17119403402,"$25,000 ","$830,620 ","$25,000 ","$92,291 ",No
Illinois,Collar,Kane County,491,Census Tract 8532,17089853200,"$25,000 ","$1,374,297 ","$25,000 ","$152,700 ",Yes
Illinois,Collar,Kankakee County,500,Census Tract 115,17091011500,"$25,000 ","$1,374,297 ","$25,000 ","$152,700 ",Yes
Illinois,Collar,Kane County,489,Census Tract 8529.05,17089852905,"$25,000 ","$1,374,297 ","$25,000 ","$152,700 ",Yes
Illinois,Collar,Kane County,492,Census Tract 8536,17089853600,"$25,000 ","$1,374,297 ","$25,000 ","$152,700 ",No
Illinois,Collar,Kane County,494,Census Tract 8541,17089854100,"$25,000 ","$1,374,297 ","$25,000 ","$152,700 ",No
Illinois,Collar,Kane County,495,Census Tract 8542,17089854200,"$25,000 ","$1,374,297 ","$25,000 ","$152,700 ",No
Illinois,Northwest Central,Peoria County,657,Census Tract 27.02,17143002702,"$25,000 ","$858,668 ","$25,000 ","$95,408 ",No
Illinois,Northwest Central,Peoria County,656,Census Tract 27.01,17143002701,"$25,000 ","$858,668 ","$25,000 ","$95,408 ",No
Illinois,Collar,Kankakee County,501,Census Tract 116,17091011600,"$25,000 ","$1,374,297 ","$25,000 ","$152,700 ",No
Illinois,Cook - Chicago Western,Cook County,365,Census Tract 8369,17031836900,"$25,000 ","$1,852,442 ","$25,000 ","$205,827 ",Yes
Illinois,Cook - Chicago Western,Cook County,377,Census Tract 8412,17031841200,"$25,000 ","$1,852,442 ","$25,000 ","$205,827 ",No
Illinois,Cook - Chicago Southern,Cook County,234,Census Tract 8395,17031839500,"$25,000 ","$4,009,466 ","$25,000 ","$445,496 ",No
Illinois,Cook - Chicago Southern,Cook County,226,Census Tract 8358,17031835800,"$25,000 ","$4,009,466 ","$25,000 ","$445,496 ",Yes
Illinois,Cook - Chicago Southern,Cook County,232,Census Tract 8388,17031838800,"$25,000 ","$4,009,466 ","$25,000 ","$445,496 ",Yes
Illinois,Cook - Chicago Western,Cook County,383,Census Tract 8419,17031841900,"$25,000 ","$1,852,442 ","$25,000 ","$205,827 ",No
Illinois,Cook - Chicago Western,Cook County,388,Census Tract 8432,17031843200,"$25,000 ","$1,852,442 ","$25,000 ","$205,827 ",No
Illinois,Cook - Chicago Western,Cook County,390,Census Tract 8434,17031843400,"$25,000 ","$1,852,442 ","$25,000 ","$205,827 ",Yes
Illinois,Cook - Chicago Southern,Cook County,242,Census Tract 8426,17031842600,"$25,000 ","$4,009,466 ","$25,000 ","$445,496 ",No
Illinois,Cook - Suburban,Cook County,394,Census Tract 8092,17031809200,"$25,000 ","$2,166,010 ","$25,000 ","$240,668 ",No
Illinois,South Central,Edgar County,711,Census Tract 703,17045070300,"$25,000 ","$830,620 ","$25,000 ","$92,291 ",No
Illinois,South Central,Fayette County,714,Census Tract 9509,17051950900,"$25,000 ","$830,620 ","$25,000 ","$92,291 ",No
Illinois,South Central,Fayette County,713,Census Tract 9505,17051950500,"$25,000 ","$830,620 ","$25,000 ","$92,291 ",No
Illinois,Northwest Central,McDonough County,627,Census Tract 106,17109010600,"$25,000 ","$858,668 ","$25,000 ","$95,408 ",Yes
Illinois,Northeast Central,Vermilion County,558,Census Tract 112,17183011200,"$25,000 ","$312,885 ","$25,000 ","$34,765 ",No
Illinois,Northeast Central,Vermilion County,553,Census Tract 3,17183000300,"$25,000 ","$312,885 ","$25,000 ","$34,765 ",Yes
Illinois,Northeast Central,Vermilion County,556,Census Tract 6,17183000600,"$25,000 ","$312,885 ","$25,000 ","$34,765 ",Yes
Illinois,Northwest Central,Warren County,662,Census Tract 8705,17187870500,"$25,000 ","$858,668 ","$25,000 ","$95,408 ",No
Illinois,Northeast Central,Vermilion County,557,Census Tract 107.01,17183010701,"$25,000 ","$312,885 ","$25,000 ","$34,765 ",Yes
Illinois,Northeast Central,Vermilion County,555,Census Tract 5,17183000500,"$25,000 ","$312,885 ","$25,000 ","$34,765 ",Yes
Illinois,Northeast Central,Vermilion County,551,Census Tract 1,17183000100,"$25,000 ","$312,885 ","$25,000 ","$34,765 ",Yes
Illinois,Central,Macon County,675,Census Tract 20,17115002000,"$25,000 ","$728,093 ","$25,000 ","$80,899 ",Yes
Illinois,Northern,Winnebago County,571,Census Tract 10,17201001000,"$25,000 ","$717,818 ","$25,000 ","$79,758 ",Yes
Illinois,Southern,Jefferson County,761,Census Tract 511,17081051100,"$20,000 ","$270,124 ","$20,000 ","$30,014 ",Yes
Illinois,Northern,Winnebago County,572,Census Tract 11,17201001100,"$25,000 ","$717,818 ","$25,000 ","$79,758 ",No
Illinois,Northern,Winnebago County,574,Census Tract 13,17201001300,"$25,000 ","$717,818 ","$25,000 ","$79,758 ",Yes
Illinois,Northern,Winnebago County,575,Census Tract 14,17201001400,"$25,000 ","$717,818 ","$25,000 ","$79,758 ",Yes
Illinois,Central,Macon County,677,Census Tract 29.03,17115002903,"$25,000 ","$728,093 ","$25,000 ","$80,899 ",Yes
Illinois,Central,Macon County,669,Census Tract 5,17115000500,"$25,000 ","$728,093 ","$25,000 ","$80,899 ",Yes
Illinois,Southern,Jefferson County,760,Census Tract 510,17081051000,"$20,000 ","$270,124 ","$20,000 ","$30,014 ",Yes
Illinois,Southern,Jefferson County,759,Census Tract 509,17081050900,"$20,000 ","$270,124 ","$20,000 ","$30,014 ",No
Illinois,Northern,Winnebago County,576,Census Tract 17,17201001700,"$25,000 ","$717,818 ","$25,000 ","$79,758 ",No
Illinois,Northern,Winnebago County,577,Census Tract 18,17201001800,"$25,000 ","$717,818 ","$25,000 ","$79,758 ",Yes
Illinois,Central,Macon County,674,Census Tract 19,17115001900,"$25,000 ","$728,093 ","$25,000 ","$80,899 ",Yes
Illinois,Central,Montgomery County,680,Census Tract 9579,17135957900,"$25,000 ","$728,093 ","$25,000 ","$80,899 ",No
Illinois,Northwest Central,Peoria County,642,Census Tract 2,17143000200,"$25,000 ","$858,668 ","$25,000 ","$95,408 ",Yes
Illinois,Northwest Central,Peoria County,658,Census Tract 41.02,17143004102,"$25,000 ","$858,668 ","$25,000 ","$95,408 ",No
Illinois,Northwest Central,Peoria County,644,Census Tract 5,17143000500,"$25,000 ","$858,668 ","$25,000 ","$95,408 ",Yes
Illinois,Northwest Central,Peoria County,641,Census Tract 1,17143000100,"$25,000 ","$858,668 ","$25,000 ","$95,408 ",Yes
Illinois,Northwest Central,Peoria County,643,Census Tract 3,17143000300,"$25,000 ","$858,668 ","$25,000 ","$95,408 ",Yes
Illinois,Northwest Central,Peoria County,653,Census Tract 22,17143002200,"$25,000 ","$858,668 ","$25,000 ","$95,408 ",No
Illinois,South Central,Madison County,717,Census Tract 4006,17119400600,"$25,000 ","$830,620 ","$25,000 ","$92,291 ",Yes
Illinois,Northwest Central,Peoria County,645,Census Tract 6,17143000600,"$25,000 ","$858,668 ","$25,000 ","$95,408 ",Yes
Illinois,Northwest Central,Peoria County,646,Census Tract 9,17143000900,"$25,000 ","$858,668 ","$25,000 ","$95,408 ",Yes
Illinois,Northwest Central,Peoria County,647,Census Tract 12,17143001200,"$25,000 ","$858,668 ","$25,000 ","$95,408 ",Yes
Illinois,Northwest,Henry County,598,Census Tract 306,17073030600,"$20,000 ","$245,577 ","$20,000 ","$27,286 ",No
Illinois,Northwest Central,Peoria County,648,Census Tract 13,17143001300,"$25,000 ","$858,668 ","$25,000 ","$95,408 ",Yes
Illinois,Northwest Central,Peoria County,649,Census Tract 15,17143001500,"$25,000 ","$858,668 ","$25,000 ","$95,408 ",Yes
Illinois,Central,Macon County,666,Census Tract 2,17115000200,"$25,000 ","$728,093 ","$25,000 ","$80,899 ",Yes
Illinois,Central,Macon County,676,Census Tract 21,17115002100,"$25,000 ","$728,093 ","$25,000 ","$80,899 ",No
Illinois,Northwest Central,Peoria County,650,Census Tract 16,17143001600,"$25,000 ","$858,668 ","$25,000 ","$95,408 ",Yes
Illinois,Central,Macon County,667,Census Tract 3,17115000300,"$25,000 ","$728,093 ","$25,000 ","$80,899 ",Yes
Illinois,South Central,St. Clair County,735,Census Tract 5005,17163500500,"$25,000 ","$830,620 ","$25,000 ","$92,291 ",Yes
Illinois,South Central,St. Clair County,736,Census Tract 5009,17163500900,"$25,000 ","$830,620 ","$25,000 ","$92,291 ",Yes
Illinois,Central,Macon County,671,Census Tract 9,17115000900,"$25,000 ","$728,093 ","$25,000 ","$80,899 ",Yes
